,T,i
846,0.4235,-0.00338933
847,0.424,-0.0033878
848,0.4245,-0.00338536
849,0.425,-0.00338597
850,0.4255,-0.00338261
851,0.426,-0.00338048
852,0.4265,-0.00337956
853,0.427,-0.00337712
854,0.4275,-0.00337224
855,0.428,-0.00337438
856,0.4285,-0.0033701
857,0.429,-0.00337163
858,0.4295,-0.00336736
859,0.43,-0.00336949
860,0.4305,-0.00336552
861,0.431,-0.00336034
862,0.4315,-0.00336247
863,0.432,-0.00336125
864,0.4325,-0.00335942
865,0.433,-0.00335515
866,0.4335,-0.00335362
867,0.434,-0.0033524
868,0.4345,-0.00335088
869,0.435,-0.00335088
870,0.4355,-0.00334599
871,0.436,-0.00334538
872,0.4365,-0.00334294
873,0.437,-0.00334172
874,0.4375,-0.00334111
875,0.438,-0.00333867
876,0.4385,-0.00333806
877,0.439,-0.00333562
878,0.4395,-0.00333165
879,0.44,-0.00333073
880,0.4405,-0.00333073
881,0.441,-0.0033286
882,0.4415,-0.00332433
883,0.442,-0.00332188
884,0.4425,-0.00332341
885,0.443,-0.00332066
886,0.4435,-0.00331822
887,0.444,-0.00331822
888,0.4445,-0.00331609
889,0.445,-0.00331212
890,0.4455,-0.00331395
891,0.446,-0.00330968
892,0.4465,-0.00330846
893,0.447,-0.00330815
894,0.4475,-0.00330632
895,0.448,-0.00330449
896,0.4485,-0.00330235
897,0.449,-0.003299
898,0.4495,-0.00329839
899,0.45,-0.003299
900,0.4505,-0.00329533
901,0.451,-0.00329472
902,0.4515,-0.00329167
903,0.452,-0.00329015
904,0.4525,-0.00328679
905,0.453,-0.00328923
906,0.4535,-0.00328435
907,0.454,-0.00328587
908,0.4545,-0.00328313
909,0.455,-0.00328191
910,0.4555,-0.00328038
911,0.456,-0.00327672
912,0.4565,-0.00327489
913,0.457,-0.0032758
914,0.4575,-0.00327275
915,0.458,-0.00327336
916,0.4585,-0.0032697
917,0.459,-0.00326726
918,0.4595,-0.00326665
919,0.46,-0.00326634
920,0.4605,-0.00326268
921,0.461,-0.00325993
922,0.4615,-0.00326085
923,0.462,-0.00325902
924,0.4625,-0.00325749
925,0.463,-0.00325505
926,0.4635,-0.00325322
