,T,i
599,0.3,-0.00282169
600,0.3005,-0.00281956
601,0.301,-0.00281864
602,0.3015,-0.00281651
603,0.302,-0.00281589
604,0.3025,-0.00281284
605,0.303,-0.00280949
606,0.3035,-0.00280979
607,0.304,-0.00280827
608,0.3045,-0.00280521
609,0.305,-0.00280369
610,0.3055,-0.00280094
611,0.306,-0.00280003
612,0.3065,-0.00279819
613,0.307,-0.00279667
614,0.3075,-0.00279484
615,0.308,-0.00279301
616,0.3085,-0.00279026
617,0.309,-0.00278843
618,0.3095,-0.0027869
619,0.31,-0.00278629
620,0.3105,-0.00278324
621,0.311,-0.00278141
622,0.3115,-0.00277897
623,0.312,-0.00277653
624,0.3125,-0.00277622
625,0.313,-0.00277103
626,0.3135,-0.00277256
627,0.314,-0.00277012
628,0.3145,-0.00276951
629,0.315,-0.00276859
630,0.3155,-0.00276646
631,0.316,-0.00276493
632,0.3165,-0.00276188
633,0.317,-0.00276035
634,0.3175,-0.00275944
635,0.318,-0.0027573
636,0.3185,-0.00275425
637,0.319,-0.00275516
638,0.3195,-0.00275211
639,0.32,-0.0027512
640,0.3205,-0.00274814
641,0.321,-0.00274723
642,0.3215,-0.0027457
643,0.322,-0.00274357
644,0.3225,-0.00274326
645,0.323,-0.0027399
646,0.3235,-0.00273746
647,0.324,-0.00273594
648,0.3245,-0.00273472
649,0.325,-0.0027338
650,0.3255,-0.00272953
651,0.326,-0.00272953
652,0.3265,-0.0027277
653,0.327,-0.00272617
654,0.3275,-0.00272465
655,0.328,-0.0027219
656,0.3285,-0.00272251
657,0.329,-0.00271885
658,0.3295,-0.00271824
659,0.33,-0.00271641
660,0.3305,-0.00271335
661,0.331,-0.00271396
662,0.3315,-0.00271091
663,0.332,-0.00271152
664,0.3325,-0.00270664
665,0.333,-0.00270817
666,0.3335,-0.00270542
667,0.334,-0.00270298
668,0.3345,-0.00270084
669,0.335,-0.00270084
670,0.3355,-0.0026984
671,0.336,-0.00269718
672,0.3365,-0.00269657
673,0.337,-0.00269321
674,0.3375,-0.00269199
675,0.338,-0.00269016
676,0.3385,-0.00268863
677,0.339,-0.00268863
678,0.3395,-0.0026868
679,0.34,-0.00268467
680,0.3405,-0.00268314
681,0.341,-0.00268314
682,0.3415,-0.00268039
683,0.342,-0.00267734
684,0.3425,-0.00267612
685,0.343,-0.00267582
686,0.3435,-0.00267246
687,0.344,-0.00267093
688,0.3445,-0.00267002
689,0.345,-0.0026691
690,0.3455,-0.00266666
691,0.346,-0.00266605
692,0.3465,-0.00266392
693,0.347,-0.00266392
694,0.3475,-0.00265934
695,0.348,-0.00265934
696,0.3485,-0.00265751
697,0.349,-0.0026572
698,0.3495,-0.00265506
699,0.35,-0.00265293
700,0.3505,-0.00265201
701,0.351,-0.00264988
702,0.3515,-0.00264896
703,0.352,-0.00264713
704,0.3525,-0.00264347
705,0.353,-0.00264438
706,0.3535,-0.00264316
707,0.354,-0.00263981
708,0.3545,-0.00263981
709,0.355,-0.00263859
710,0.3555,-0.00263462
711,0.356,-0.0026334
712,0.3565,-0.00263248
713,0.357,-0.00263248
714,0.3575,-0.00262973
715,0.358,-0.0026279
716,0.3585,-0.00262516
717,0.359,-0.00262577
718,0.3595,-0.00262424
719,0.36,-0.00262546
720,0.3605,-0.00262241
721,0.361,-0.00262058
722,0.3615,-0.00261631
723,0.362,-0.00261509
724,0.3625,-0.00261631
725,0.363,-0.00261387
726,0.3635,-0.00261295
727,0.364,-0.00261173
728,0.3645,-0.0026099
729,0.365,-0.00260868
730,0.3655,-0.00260654
731,0.366,-0.0026041
732,0.3665,-0.0026041
733,0.367,-0.00260166
734,0.3675,-0.00260166
735,0.368,-0.00259922
736,0.3685,-0.0025983
737,0.369,-0.00259555
738,0.3695,-0.00259403
739,0.37,-0.00259433
740,0.3705,-0.00259037
741,0.371,-0.00258854
742,0.3715,-0.00258945
743,0.372,-0.00258854
744,0.3725,-0.0025867
745,0.373,-0.00258548
746,0.3735,-0.00258213
747,0.374,-0.00258335
748,0.3745,-0.00258182
749,0.375,-0.00257877
750,0.3755,-0.00257755
751,0.376,-0.00257633
752,0.3765,-0.00257724
753,0.377,-0.0025745
754,0.3775,-0.00257114
755,0.378,-0.00257328
756,0.3785,-0.00256961
757,0.379,-0.00256839
758,0.3795,-0.00256687
759,0.38,-0.00256534
760,0.3805,-0.00256473
761,0.381,-0.00256321
762,0.3815,-0.00256168
763,0.382,-0.00256015
764,0.3825,-0.00255863
765,0.383,-0.00255588
766,0.3835,-0.00255497
767,0.384,-0.00255436
768,0.3845,-0.00255405
769,0.385,-0.00255161
770,0.3855,-0.00255008
771,0.386,-0.00254886
772,0.3865,-0.00254795
773,0.387,-0.00254459
774,0.3875,-0.00254459
775,0.388,-0.00254184
776,0.3885,-0.00254154
777,0.389,-0.00254154
778,0.3895,-0.00253727
779,0.39,-0.00253727
780,0.3905,-0.00253818
781,0.391,-0.00253482
782,0.3915,-0.00253269
783,0.392,-0.00253421
784,0.3925,-0.00253208
785,0.393,-0.00253055
786,0.3935,-0.00252872
787,0.394,-0.0025275
788,0.3945,-0.00252597
789,0.395,-0.00252475
790,0.3955,-0.00252231
791,0.396,-0.0025214
792,0.3965,-0.0025217
793,0.397,-0.00251865
794,0.3975,-0.00251956
795,0.398,-0.00251773
796,0.3985,-0.00251712
797,0.399,-0.00251499
798,0.3995,-0.00251316
799,0.4,-0.00251224
800,0.4005,-0.00251041
801,0.401,-0.00250888
802,0.4015,-0.00250797
803,0.402,-0.00250675
804,0.4025,-0.00250492
805,0.403,-0.00250247
806,0.4035,-0.0025037
807,0.404,-0.00250095
808,0.4045,-0.00250125
809,0.405,-0.00250003
810,0.4055,-0.00249454
811,0.406,-0.00249698
812,0.4065,-0.00249576
813,0.407,-0.00249637
814,0.4075,-0.00249149
815,0.408,-0.00249088
816,0.4085,-0.00248935
817,0.409,-0.00248783
818,0.4095,-0.00248569
819,0.41,-0.00248722
820,0.4105,-0.00248447
821,0.411,-0.00248416
822,0.4115,-0.00248172
823,0.412,-0.00247959
824,0.4125,-0.00247989
825,0.413,-0.00247775
826,0.4135,-0.00247959
827,0.414,-0.00247562
828,0.4145,-0.00247501
829,0.415,-0.00247379
830,0.4155,-0.00247348
831,0.416,-0.00247196
832,0.4165,-0.00246982
833,0.417,-0.00247104
834,0.4175,-0.00246738
835,0.418,-0.00246524
836,0.4185,-0.00246524
837,0.419,-0.0024628
838,0.4195,-0.00246341
839,0.42,-0.00245914
840,0.4205,-0.00246158
841,0.421,-0.00245914
842,0.4215,-0.00245822
843,0.422,-0.00245761
844,0.4225,-0.00245517
845,0.423,-0.00245426
846,0.4235,-0.00245456
847,0.424,-0.00245212
848,0.4245,-0.00245181
849,0.425,-0.00245029
850,0.4255,-0.00244876
851,0.426,-0.00244571
852,0.4265,-0.00244602
853,0.427,-0.00244419
854,0.4275,-0.00244174
855,0.428,-0.00244235
856,0.4285,-0.00244022
857,0.429,-0.00243961
858,0.4295,-0.00243869
859,0.43,-0.00243717
860,0.4305,-0.00243656
861,0.431,-0.00243533
862,0.4315,-0.0024332
863,0.432,-0.0024332
864,0.4325,-0.00243381
865,0.433,-0.00242984
866,0.4335,-0.00242893
867,0.434,-0.00242893
868,0.4345,-0.00242801
869,0.435,-0.00242465
870,0.4355,-0.00242374
871,0.436,-0.00242221
872,0.4365,-0.00242221
873,0.437,-0.00242191
874,0.4375,-0.00241855
875,0.438,-0.00241824
876,0.4385,-0.00241733
877,0.439,-0.00241702
878,0.4395,-0.00241428
879,0.44,-0.00241275
880,0.4405,-0.00241275
881,0.441,-0.00241123
882,0.4415,-0.00241031
883,0.442,-0.00240817
884,0.4425,-0.00240787
885,0.443,-0.00240787
886,0.4435,-0.00240512
887,0.444,-0.00240482
888,0.4445,-0.00240421
889,0.445,-0.00240299
890,0.4455,-0.00240299
891,0.446,-0.00239932
892,0.4465,-0.00239902
893,0.447,-0.0023978
894,0.4475,-0.0023981
895,0.448,-0.00239414
896,0.4485,-0.00239291
897,0.449,-0.00239475
898,0.4495,-0.00239414
899,0.45,-0.00239078
900,0.4505,-0.00239017
901,0.451,-0.00238864
902,0.4515,-0.00238834
903,0.452,-0.00238712
904,0.4525,-0.00238559
905,0.453,-0.00238406
906,0.4535,-0.00238376
907,0.454,-0.00238437
908,0.4545,-0.00237918
909,0.455,-0.00237949
910,0.4555,-0.00237796
911,0.456,-0.00237949
912,0.4565,-0.00237735
913,0.457,-0.00237582
914,0.4575,-0.00237613
915,0.458,-0.0023746
916,0.4585,-0.0023743
917,0.459,-0.00237186
918,0.4595,-0.00236911
919,0.46,-0.00236942
920,0.4605,-0.00236972
921,0.461,-0.00236606
922,0.4615,-0.00236484
923,0.462,-0.00236606
924,0.4625,-0.00236545
925,0.463,-0.00236362
926,0.4635,-0.00236148
927,0.464,-0.00235965
928,0.4645,-0.00235873
929,0.465,-0.00235996
930,0.4655,-0.00235812
931,0.466,-0.0023566
932,0.4665,-0.00235599
933,0.467,-0.00235477
934,0.4675,-0.00235294
935,0.468,-0.00235233
936,0.4685,-0.00235111
937,0.469,-0.00234988
938,0.4695,-0.00234836
939,0.47,-0.00234775
940,0.4705,-0.00234927
941,0.471,-0.00234622
942,0.4715,-0.00234592
943,0.472,-0.0023447
944,0.4725,-0.00234195
945,0.473,-0.00234195
946,0.4735,-0.00234225
947,0.474,-0.00233829
948,0.4745,-0.0023392
949,0.475,-0.0023392
950,0.4755,-0.00233463
951,0.476,-0.00233554
952,0.4765,-0.00233401
953,0.477,-0.00233218
954,0.4775,-0.00233218
955,0.478,-0.00233066
956,0.4785,-0.00233066
957,0.479,-0.00232913
958,0.4795,-0.00232822
959,0.48,-0.002327
960,0.4805,-0.00232547
961,0.481,-0.00232547
962,0.4815,-0.00232303
963,0.482,-0.00232211
964,0.4825,-0.0023212
965,0.483,-0.00231998
966,0.4835,-0.00232059
967,0.484,-0.00231998
968,0.4845,-0.00231845
969,0.485,-0.00231723
970,0.4855,-0.0023157
971,0.486,-0.00231509
972,0.4865,-0.00231387
973,0.487,-0.00231326
974,0.4875,-0.00231265
975,0.488,-0.00231021
976,0.4885,-0.00231021
977,0.489,-0.00230716
978,0.4895,-0.00230655
979,0.49,-0.00230594
980,0.4905,-0.00230655
981,0.491,-0.00230533
982,0.4915,-0.00230594
983,0.492,-0.00230441
984,0.4925,-0.00230167
985,0.493,-0.00230106
986,0.4935,-0.002298
987,0.494,-0.00229922
988,0.4945,-0.00229861
989,0.495,-0.00229678
990,0.4955,-0.00229556
991,0.496,-0.00229526
992,0.4965,-0.00229404
993,0.497,-0.00229343
994,0.4975,-0.0022919
995,0.498,-0.00229159
996,0.4985,-0.00229098
997,0.499,-0.00228854
998,0.4995,-0.00228885
999,0.5,-0.00228671
1000,0.5005,-0.0022858
1001,0.501,-0.00228488
1002,0.5015,-0.00228488
1003,0.502,-0.00228305
1004,0.5025,-0.00228274
1005,0.503,-0.00228274
1006,0.5035,-0.00227969
1007,0.504,-0.00227878
1008,0.5045,-0.00227725
1009,0.505,-0.00227817
1010,0.5055,-0.00227573
1011,0.506,-0.0022742
1012,0.5065,-0.00227328
1013,0.507,-0.00227328
1014,0.5075,-0.00227298
1015,0.508,-0.00226993
1016,0.5085,-0.00227176
1017,0.509,-0.00226871
1018,0.5095,-0.00226962
1019,0.51,-0.00226871
1020,0.5105,-0.00226626
1021,0.511,-0.00226626
1022,0.5115,-0.00226474
1023,0.512,-0.00226352
1024,0.5125,-0.0022623
1025,0.513,-0.00226352
1026,0.5135,-0.00226138
1027,0.514,-0.00225955
1028,0.5145,-0.00225833
1029,0.515,-0.00225833
1030,0.5155,-0.00225833
1031,0.516,-0.00225772
1032,0.5165,-0.0022565
